Temperature ,Humidity,Rainfall (mm),Wind Speed (km/h),Disease Spread Speed
35.85,31.2,157.81,5.96,Low
32.04,34.04,101.58,35.62,Low
21.87,78.05,45.77,43.27,Low
33.19,82.06,163.41,48.21,High
36.37,32.55,75.15,2.33,Low
36.02,88.76,4.85,43.73,Low
34.58,59.68,180.76,12,Low
16.09,57.12,105.52,6.15,Low
29.24,63.52,63.75,39.94,Low
22.99,45.06,17.46,41.83,Medium
23.84,86.43,6.3,16.71,Low
27.21,37.04,53.07,15.94,Low
29.87,70.33,198.2,31.73,Low
24.21,79.06,154.19,32.19,Low
15.01,60.26,109.96,2.63,Low
33.7,31.88,197.35,26.81,Low
34.69,68.2,81.33,49.85,High
22.93,35.18,103.03,15.71,Low
24.11,31.27,141.73,7.92,Low
17.35,32.54,155.79,2.66,Low
22.52,83.35,150.14,48.04,Low
33.42,71.87,160.62,12.39,High
37.87,67.61,181.82,40.25,High
36.25,51.81,144.48,30.18,Low
17.52,61.68,194.32,5.1,Low
33.17,61.6,104.69,15.43,High
21.02,59.38,68.29,23.33,Low
31.9,69.22,16.3,21.28,Low
31.78,59.47,188.18,4.9,Low
26.77,85.07,56.98,39.33,Low
29.11,51.31,168.56,7.89,Low
39.43,47.71,36.64,14.3,Low
35.79,43.01,97.23,5.98,Low
16.94,65.74,4.31,34.41,Low
20.51,74.95,115.2,47.32,Low
21.97,68.59,100.02,22.9,Low
16.46,60.77,64.84,39.15,Low
24.51,88.42,46.63,18.7,Low
20.3,60.3,19.11,4.28,Low
27.57,63.54,11.07,27.55,Low
33.09,69.54,38.76,19.17,Low
28.04,72.56,78.57,44.06,Low
34.26,32.24,17.91,2.67,Low
16.19,30.99,26.51,5.6,Low
38.82,49.55,33.57,39.81,Low
21.89,69.44,192.51,26.65,Low
37.29,61.44,138.94,26.05,High
18.1,47.55,150.82,25.1,Low
37.08,60.68,42.36,46.06,Low
28.93,63.47,36.81,30.62,Low
33.61,31.62,35.28,21.41,Low
24.87,61.85,83.01,39.21,Low
15.37,76.83,129.32,46.77,Low
39.75,79.51,182.94,20.56,High
31.15,40.17,30.82,35.02,Low
28.06,66.77,124.2,6.53,Low
25.46,43.71,127.97,43.53,Low
36.88,66.27,31.14,24.91,Low
28.28,88.6,80.11,27.51,Low
32.32,74.09,113.94,26.28,High
27.05,32.77,158.35,42.12,Low
15.25,52.94,136.17,18.54,Low
20.73,84.58,101.61,26.53,Low
29.06,63.22,58.53,28.02,Low
22.8,70.03,3.85,17.23,Low
28.42,31.8,3.59,33.87,Low
24.65,75.61,177.49,11.05,Low
28.4,35.21,51.22,21.02,Low
33.19,55.71,169.29,26.12,Low
28.48,44.15,179.58,21.25,Low
21.06,57.56,57.63,16.27,Low
20.67,85.49,183.03,14.53,Low
24.21,81.33,78.53,41.89,Low
30.04,55.37,131.9,40.05,Low
36.37,44.62,198.06,47.12,Low
30.67,30.51,126.13,35.72,Low
23.77,51.5,112.51,42.2,Low
23.08,43.52,144.61,45.15,Low
20.68,45.86,25.87,11.67,Medium
17.89,70.75,167.18,41.9,Low
18.99,38.38,127.03,26.41,Low
30.8,33.71,90.36,22.47,Low
27.16,78.4,76.46,15.21,Low
24.2,47.2,160.05,22.5,Low
27.32,51.1,49.93,32,Medium
22.73,88.65,139.07,32.44,Low
26.61,79.24,183.91,17.29,Low
17.38,77.8,74.26,32.26,Low
19.47,54.33,74.25,49.49,Low
37.08,39.04,92.26,13.67,Low
17.61,59.13,130.35,2.67,Low
36.08,83.56,48.27,10.48,Low
36.28,46.76,117.37,43.19,Low
27.96,50.13,168.83,29.88,Low
25.49,50.92,21.37,6.81,Medium
15.31,57.46,112.78,4.19,Low
18.07,86.28,5.14,20.21,Low
31.98,81.95,193.6,48.82,High
34.33,64,62.53,20.21,High
30.96,64.25,158.48,18.44,High
21.61,75.84,185.72,22.09,Low
28.79,57.14,19.83,24.97,Medium
27.73,34.76,142.56,39.83,Low
17.67,87.38,199.4,41.39,Low
16.85,40.42,140.95,39.35,Low
31.95,78.2,187.97,35.93,High
20.12,57.38,167.45,1.39,Low
16.24,37.94,107.51,24.46,Low
35.71,66.94,108.65,32.96,High
34.08,34.81,33.61,22.17,Low
23.07,30.53,121.54,45.41,Low
17.42,67.15,102.08,29.9,Low
39.87,73.22,151.41,48.87,High
18.21,34.58,39.79,27.99,Low
34.59,70.43,180.57,41.02,High
18.64,35.5,54.35,28.97,Low
39.93,36.03,5.61,16.43,Low
23.95,78.41,26.51,7.33,Low
26.55,63.8,72.71,30.04,Low
37.69,88.57,178.33,40.37,High
39.07,44.8,155.16,45.81,Low
15.67,56.68,130.28,32.3,Low
33.42,33.52,119.15,8.06,Low
30.76,58.5,164.89,41.6,Low
21,37.47,102.31,46.46,Low
38.93,83.3,156.13,17.18,High
23.36,77.59,32.21,28.34,Low
27.5,68.58,58.36,29.45,Low
27.34,74.65,58.37,43.91,Low
15.43,84.54,156.98,30.84,Low
15.39,88.44,60.56,21.5,Low
16.61,82.68,83.78,6.35,Low
39.34,83.81,26.08,39.38,Low
36.89,49.51,191.72,20.35,Low
30.75,89.8,74.75,30.38,High
30.25,78.54,45.62,40.45,Low
30.47,41.94,144.54,2.5,Low
15.82,69.15,11.45,4.09,Low
19.7,84.89,194.78,39.35,Low
22.37,32.93,67.3,21,Low
38.27,84.72,49.94,12.91,Low
21.61,83.99,126.78,3.64,Low
18.7,54.09,130.66,17.4,Low
31.65,52.78,181.4,10.87,Low
30.89,89.57,12.91,22.51,Low
19.34,47.13,32.67,7.04,Low
15.06,81.27,67.15,40.81,Low
17.03,44.89,14.29,49.79,Low
26.43,33.08,3.01,18.35,Low
16.46,34.14,141.99,1.24,Low
16.86,32.27,14.94,29.01,Low
29.43,80.82,160.8,48.42,Low
24.49,75.09,156.12,5.29,Low
39.76,88.98,4.62,19.18,Low
17.4,71.71,66.5,20.18,Low
20.61,53.79,100.19,39.08,Low
29.24,69.58,171.92,5.89,Low
39.84,81.47,14.01,44.7,Low
34.26,52.83,66.03,11.45,Low
37.83,77.67,114.78,49.98,High
37.85,82.24,107.73,24.48,High
35.43,30.34,28.11,1.24,Low
23.79,77.79,56.5,45.03,Low
35.37,35.89,83.05,48.26,Low
23.44,46.89,16.41,7.48,Medium
17.19,37.41,138.82,49.9,Low
25.13,38.35,99.52,42.96,Low
19.98,56.42,19,39.37,Low
26.8,50.41,51.08,48.93,Low
20.87,55.22,141.85,28.95,Low
35.58,50.19,131.33,23.9,Low
15.02,72.41,9.5,11.19,Low
34.62,63.47,181.37,14.44,High
17.33,48.73,66.15,38.32,Low
36.91,85.78,27.24,3.67,Low
37.61,39.37,24,10.09,Low
21.12,58.47,172.9,44.93,Low
37.35,53,184.8,6.94,Low
32.25,30.62,143.46,43.62,Low
24.53,54.7,32.02,26.03,Medium
24.01,73.39,191.75,35.39,Low
19.05,38.94,104.54,22.42,Low
17.11,54.07,61.28,12.44,Low
30.23,52.86,103.16,49.55,Low
34.17,60.25,189.26,26.42,High
24.85,36.67,16.68,26.55,Low
32.79,88.03,37.83,36.77,Low
36.14,64.8,87.28,4.24,High
37.28,51.16,32.74,4.82,Low
32.31,34.47,107.73,26.18,Low
33.92,77.33,60.22,0.78,High
37.09,36.87,162.59,6.95,Low
32.66,70.14,4.03,35.52,Low
38.37,72.33,98.42,4.47,High
19.15,83.83,119.1,47.69,Low
38.48,37.38,79.95,21.35,Low
30.79,35.02,26.33,47.77,Low
39.2,69.63,114.95,20.28,High
39.83,36.26,88.53,19.54,Low
27.64,64.07,74.34,48.22,Low
20.64,49.3,15.42,33.19,Medium
25.61,33.19,120.88,36.45,Low
27.51,51.03,47.81,9.57,Medium
32.55,70.51,85.01,32.75,High
25.79,45.82,65.38,28.55,Low
33.51,59.77,0.2,30.35,Low
24.98,52.94,156.89,7.23,Low
22.49,72.67,43.78,20.84,Low
22.81,32.21,98.47,2.43,Low
31.62,51.78,188.26,47.92,Low
38.64,50.67,28.22,36.69,Low
15.33,55.49,158.79,22.13,Low
38.48,70.1,109.91,30.57,High
32.69,37.49,163.82,24.23,Low
36.96,54.03,51.4,7.32,Low
22.44,48.03,53.9,8.49,Low
34.41,66.36,40.66,22.45,Low
39.16,87.07,10.46,34.36,Low
25.73,84.24,88.35,1.78,Low
19.08,45.05,82.8,25.39,Low
21.18,41.19,36.12,1.5,Medium
16.31,80.72,156.2,31.34,Low
16.2,86.5,87.54,14.57,Low
36.98,57.83,190.29,6.74,Low
25.7,71.69,102.87,20.1,Low
29.11,74.76,46.84,32.11,Low
27.39,84.98,38.15,2.67,Low
22.64,43.51,27.54,25.94,Medium
39.81,53.83,176.5,44.27,Low
28.26,42.8,69.47,16.39,Low
34.2,40.48,129.78,38.28,Low
23.7,47.75,56.49,19.69,Low
22.78,69.23,13.58,11.06,Low
30.9,86.78,99.5,47,High
37.82,37.15,49.29,24.68,Low
25.28,77.87,101.66,34.27,Low
24.12,53.49,76.32,7.44,Low
18.24,83.06,6.44,13.68,Low
22.36,89.14,114.9,6.98,Low
15.76,40.65,25.66,5.35,Low
15.76,43.14,144.33,2.93,Low
30.75,31.43,108.35,11.98,Low
26.42,33.88,154.79,1.55,Low
21.4,38.36,29.37,34.96,Low
17.15,61.24,48.29,9.64,Low
32.81,68.43,169.55,5.08,High
25.45,51.22,195.02,13.05,Low
37.37,82.25,164.22,39.44,High
27.71,78.42,13.03,4.61,Low
31.51,51.57,3.43,38.33,Low
27.53,56.3,64.74,22.57,Low
34.83,52.39,25.53,35.28,Low
29.84,75.26,135.81,17.98,Low
19.68,43.56,0.89,49.33,Low
16.63,40.35,67.41,12.3,Low
19.73,51.51,93.65,38.94,Low
25.5,82.43,26.99,48.63,Low
34.18,71.74,134.86,14.1,High
19.65,63.32,139.12,6.24,Low
39.14,53.16,9.76,16.8,Low
30.37,45.26,148.81,44.09,Low
39.35,85.48,174.09,18.58,High
28.73,67.94,124.91,17.69,Low
33.94,50.07,13.59,15.14,Low
28.53,62.53,4.42,11.57,Low
36.37,72.14,199.65,44.83,High
21.28,49.26,13.72,8.86,Medium
27.23,54.3,85.45,10.05,Low
26.83,54.13,85.92,44.93,Low
18.6,72.16,162.48,27.16,Low
31.25,64.21,120.17,3.99,High
22.79,84.95,141.04,10.9,Low
36.22,59.13,148.86,11.04,Low
23.55,60.81,96.37,28.12,Low
24.19,72.78,130.86,14.3,Low
37.1,51.61,189.63,43.7,Low
36.57,84.78,175.55,12.5,High
30.4,58.07,187.18,10.74,Low
16.47,52.64,35.27,25.07,Low
35.61,63.85,160.07,18.22,High
29.99,83.75,169.63,49.75,Low
33.91,63.14,43.47,24.86,Low
29.86,43.52,79.77,8.9,Low
36.99,89.29,23.03,0.77,Low
19.79,49.95,52.41,13.77,Low
30.68,78.41,166.47,46.63,High
27.02,75.24,29.41,16.82,Low
38.36,64.19,173.23,45.05,High
39.29,53.92,177.96,27.4,Low
31.56,69.75,105.79,46.3,High
15.81,84.34,122.78,14.33,Low
29.64,81.01,62.44,18.4,Low
38.35,36.36,158.35,23.82,Low
19.12,78.18,18.78,45.66,Low
18.5,41.48,83.21,19.72,Low
23.41,64.95,100.63,8.94,Low
28.72,86.67,151.29,42.12,Low
29.5,89.63,149.35,2.33,Low
33.98,61.07,132.45,31.71,High
26.23,79.33,35.04,12.04,Low
16.23,89.56,82.27,10.61,Low
24.34,74.07,129.31,33.33,Low
24.29,88.88,35,44.63,Low
26.37,33.54,177.8,41.64,Low
32.38,86.64,144.3,29.37,High
23.82,54.21,97.24,48.12,Low
17.5,66.06,149.92,12.12,Low
34.64,40.65,48.86,24.37,Low
26.46,37.53,24.71,24.11,Low
31.71,57.85,42.89,41.72,Low
34.81,52.47,116.2,33.67,Low
31.94,38.98,9.3,0.28,Low
25.21,46.7,167.15,7.63,Low
21.01,46.66,180.93,44.93,Low
29.34,30.59,135.8,5.52,Low
31.88,55.07,137.13,2.59,Low
18.94,45.78,76.68,18.45,Low
23.66,78.91,81.55,38.66,Low
22.14,37,79.57,14.68,Low
34.13,87.91,110.46,48.23,High
39.39,37.59,169.61,13.38,Low
21.59,81.58,197.47,38.3,Low
19.7,36.8,49.67,0.83,Low
39.21,31.03,131.28,8.01,Low
28.02,83.64,0.46,14.86,Low
15.55,75.51,55.56,42.36,Low
15.65,49.31,77.28,4.77,Low
20.3,34.48,89.78,20.54,Low
35.39,64.96,91.53,41.12,High
28.63,57.1,140.22,49.1,Low
38.55,63.98,12.01,8.66,Low
23.11,48.29,55.5,13.13,Low
32.28,38.64,143.88,23.24,Low
26.64,64.61,195.54,23.78,Low
28.93,38.4,152.77,10.11,Low
35.6,84.68,37.38,3.77,Low
32.75,80.62,60.23,43.35,High
26.45,57.24,59.42,17.81,Low
38.39,37.17,139.58,37,Low
23.91,51.08,173.05,6.03,Low
35.02,72.75,143.9,18.56,High
19.82,59.55,106.42,38.21,Low
25.63,35.76,30,21.71,Low
15.21,49.2,68.76,6.39,Low
34.24,38.3,4.32,37.79,Low
16.09,47.73,41.36,22.22,Low
20.82,57.85,85.21,41.62,Low
33.19,32.06,126.55,14.81,Low
25.26,77.83,25.01,48.06,Low
18.4,81.07,22.13,3.31,Low
32.29,62.32,167.33,19.64,High
34.95,34.86,95.62,36.36,Low
28.9,54.33,16.51,33.95,Medium
19.95,41.44,122.37,31.44,Low
21.95,76.37,173.8,16.12,Low
32.6,51.7,181.8,18.65,Low
27.45,41.53,121.04,28.03,Low
25.04,76.74,114.9,6.86,Low
36.44,88.11,59.09,11.34,High
26.97,63.25,172.73,9,Low
15.61,34.4,35.07,34.43,Low
21.24,34.03,161.55,13.96,Low
33.55,55.72,151.06,24.06,Low
15.23,68.95,130.67,8.85,Low
38.15,35.28,48.3,42.3,Low
22.4,61.05,171.07,10.81,Low
22.05,58.42,163.55,27.67,Low
35.49,78.54,151.3,22.61,High
36.02,52.94,194.63,18.01,Low
23.77,42.8,150.13,49.95,Low
36.39,32.21,125.86,16.45,Low
36.47,81.74,8.25,42,Low
21.98,71.87,196.14,48.77,Low
15.04,45.99,171.16,47.8,Low
26.23,56.67,98.65,49.93,Low
22.99,75.58,107.7,45.31,Low
33.88,79.44,74.9,0.33,High
17.67,44.99,25.53,32.18,Low
23.11,49.31,112.11,31.35,Low
20.44,56.83,129.38,28,Low
37.83,75.06,165.32,15.09,High
16.97,81.14,176.5,4.03,Low
32.98,38.09,167.87,1.53,Low
35.94,49.96,181.2,29.25,Low
20.51,89.6,163.11,48.15,Low
19.21,43.47,100.81,24.34,Low
29.03,51.06,149.87,46.81,Low
38.44,77.53,119.57,29.22,High
20.21,52.98,180.75,40.08,Low
15.42,75.37,198.26,20.99,Low
22.07,34.87,195.27,9.94,Low
31.98,80.17,197.18,23.02,High
26.88,46.65,194.67,24.23,Low
27.92,53.69,102.35,16.69,Low
32.54,56.51,118.67,8.53,Low
35.93,30.66,2.22,29.21,Low
29.18,74.14,72.81,16.71,Low
23.53,67.89,77.05,44.07,Low
22.41,78,139.23,47.66,Low
29.02,70.68,71.46,45.4,Low
28.96,41.57,136.93,9.19,Low
30.37,85.72,71.51,15.26,High
37.88,81.3,122.22,20.7,High
29.44,59.93,108.43,3,Low
39.55,71.24,139.74,40.94,High
35.57,86.12,130.18,22.31,High
17.17,34.47,62.04,3.48,Low
21.72,64.05,178.19,10.78,Low
31.73,82.81,67.39,37.33,High
29.21,84.56,138,39.49,Low
38.96,34.11,107.35,24.18,Low
21.81,58.98,87.39,16.51,Low
24.16,47.53,105.44,18.2,Low
39.63,45.47,20.72,49.87,Low
29.71,35.29,13.62,40.47,Low
18.85,32.47,147.51,3.62,Low
26.46,62.06,62.68,3.23,Low
15.64,58.4,139.64,29.42,Low
26.33,67.87,172.76,48.67,Low
31.43,35.24,30.13,44.12,Low
32.63,87.11,36.73,6.82,Low
24.86,65.06,17.12,13.7,Low
20.71,74.57,64.87,14.71,Low
27.53,68.46,68.76,34.98,Low
29.84,42.96,82.31,8.59,Low
18.4,31.9,14.46,43.91,Low
27.44,80.9,44.95,27.76,Low
38.44,80.2,175.08,45.59,High
34.58,39.74,27.34,32.13,Low
34.26,69.04,180.44,36.77,High
28.95,82.37,46.14,25.95,Low
25.07,50.28,40.67,15.8,Medium
38.17,41.07,7.48,25.26,Low
16.73,85.43,66.37,8.45,Low
20.02,83.41,103.49,20.93,Low
18.88,34.89,145.84,46.64,Low
28.58,49.94,34.58,25.87,Medium
33.84,44.66,186.53,38.76,Low
21.23,69.49,163.61,2.56,Low
18.74,63.78,103.78,26.42,Low
26.79,48.2,88.24,36.34,Low
38.26,70.54,147.28,10.71,High
36.11,85.64,187.07,23.1,High
35.07,65.02,43.39,27.29,Low
39.31,88.07,149.94,29.05,High
22.43,43.33,180.45,48.2,Low
24.69,65.03,24.03,25.5,Low
32.07,49.35,87.01,37.48,Low
36.13,79.29,125.1,19.86,High
29.22,37.38,124.24,11.94,Low
21.46,77.47,101.7,38.79,Low
31.41,81.73,117.4,16.24,High
18.46,88.41,85.18,35.46,Low
28.8,58.91,170.51,23.31,Low
37.34,68.77,191.96,19.29,High
32.17,75.32,113.49,31.48,High
20.47,39.15,121.21,30.44,Low
25.08,74.73,163.36,43.85,Low
38.52,59.64,118.33,44.9,Low
34.88,42.2,54.89,14.45,Low
38.76,86.18,181.92,25.33,High
37,78.67,82.13,0.75,High
27.48,62.32,154.03,39.41,Low
26.36,61.82,118.33,46.67,Low
15.6,61.81,140.71,22.28,Low
28.39,79.12,152.58,49.65,Low
17.86,46.46,163.26,33.04,Low
32.19,73.54,111.63,12.17,High
26.3,38.9,144.49,4.55,Low
36.18,79.2,138.31,32.41,High
38.33,88.94,51.76,36.32,High
31.46,85.71,177.18,7.87,High
19.04,45.36,47.58,49.26,Low
18.23,49.44,123.39,13.55,Low
34.95,82.13,48.81,30.36,Low
32.97,53.75,12.76,34.55,Low
38.56,80.17,87.4,41.46,High
31.65,45.5,181.7,43.69,Low
22.95,42.36,126.36,36.37,Low
28.97,65.43,164.95,14.62,Low
20.54,38.08,151.24,49.7,Low
24.2,44.79,84.25,38.92,Low
15.24,50.31,194.95,22.62,Low
15.39,47.82,192.34,1.35,Low
15.15,56.74,112.13,34.99,Low
35.88,89.19,121.48,17.9,High
39.04,39.89,160.78,15.84,Low
38.82,79.55,165.11,35.26,High
26.19,54.74,95.79,0.56,Low
22.54,76.02,7.83,5.76,Low
37.1,45.65,133.64,19.39,Low
15.05,79.5,170.67,0.55,Low
24.04,68.31,71.6,35.81,Low
21.97,88.24,100.02,32.12,Low
39.1,74.68,195.45,28.56,High
16.99,42.69,16.89,31.44,Low
27.6,82.59,120.77,4.76,Low
33.38,53.71,97.79,29.62,Low
15.51,77.46,116.12,43.1,Low
22.45,87.98,98.15,12.63,Low
24.17,63.1,32.49,49.48,Low
22.98,48.85,31.28,1.75,Medium
29.22,54.97,50.84,43.95,Low
30.76,45.64,61.77,45.91,Low
27.53,79.87,42.3,25.71,Low
16.33,51.02,188.8,26.49,Low
25.9,58.2,56.7,35.46,Low
19.16,60.5,13.23,30.42,Low
36.5,67.09,13.87,28.35,Low
30.73,70.03,157.17,43.7,High
32.37,81.87,158.74,41.56,High
35.39,43.83,97.98,35.59,Low
26.61,30.89,61.75,43.5,Low
37.53,43.54,171.76,46.49,Low
25.69,59.77,191.54,36.2,Low
20.41,33,94.46,0.43,Low
19.13,75.84,160.73,28.79,Low
28.98,49.17,25.27,27.08,Medium
26.38,83.4,123.21,0.08,Low
19.02,50.25,119.57,29.91,Low
15.19,70.36,36.33,8.21,Low
20.74,38.02,3.57,6.47,Low
32.21,80.96,186.04,43.63,High
26.98,76.05,14.25,0.23,Low
18.45,68.41,45.23,11.82,Low
29.24,74.47,125.97,17.36,Low
15.42,46.63,125.25,39.96,Low
16.36,69.07,53.23,18.95,Low
37.63,31.28,173.19,17.97,Low
23.66,30.47,117.17,27.36,Low
22.07,61.06,198.72,11.58,Low
24.93,33.73,30.58,29.01,Low
36.25,42.5,18.43,32,Low
32.57,70.63,32.38,36.34,Low
35.96,84.31,146.19,19.89,High
38.68,37.39,111.78,25.77,Low
26.3,30.79,8.6,35.79,Low
31.4,44.65,122.88,8.18,Low
29.6,89.71,26.13,39.45,Low
19.66,41.68,51.74,0.59,Low
28.2,73.32,16.61,48.07,Low
30.43,71.28,106,46.86,High
15.48,66.09,64.35,17.21,Low
34.45,58.03,172.39,35.82,Low
23.63,51.65,162.13,16.54,Low
35.21,89.76,14.71,22.37,Low
33.37,77.3,193.94,15.89,High
37.41,61.99,119.16,3.79,High
18.17,39.8,171.98,45.58,Low
25.42,32.12,50.15,47.28,Low
36.41,64.49,97.65,26.03,High
31.96,65.93,79.46,1.83,High
36.11,41.16,128.58,41.24,Low
18.23,85.25,62.02,39.81,Low
34.2,68.23,59.16,42.63,High
18.71,39.38,174.32,46.07,Low
36.13,44.42,155.13,46.15,Low
18.44,52.63,158.42,22.42,Low
34.09,87.28,147.52,14.66,High
24.09,84.88,30.64,4.26,Low
18.45,78.15,165.13,27.63,Low
18.41,89.17,12.86,11.72,Low
30.15,51.44,32.65,32.26,Low
37.53,71.48,156.13,30.59,High
16.33,45.92,25.07,19.29,Low
17.09,38.61,73.8,17.66,Low
20.54,83.23,167.35,24.44,Low
30.43,65.06,118.97,1.84,High
39.89,52.25,22.9,4.22,Low
26.69,40.13,185.13,9.68,Low
20.13,65.22,163.7,46.17,Low
35.34,36.21,35.15,16.78,Low
39.38,36.12,171.11,44.22,Low
32.09,77.09,161.3,18.62,High
24.63,81.53,6.99,39.21,Low
34.64,70.45,85.77,10.6,High
24.9,62.87,18.22,24.84,Low
29.97,60.67,92,49.76,Low
29.52,32.99,58.79,13.35,Low
19.43,72.97,9.44,2.91,Low
15.17,60.07,184.74,25.93,Low
38.77,63.36,6.03,45.77,Low
22.09,74.09,197.02,12.76,Low
28.65,79.79,197.9,39.93,Low
20.86,81.7,60.52,15.42,Low
22.14,34.86,29.46,39.03,Low
39.64,38.53,75.74,44.25,Low
33.72,38.2,89.06,40.62,Low
19.89,72.23,79.61,43.04,Low
21.59,74.29,169.34,48.35,Low
16.37,31.34,61.23,18.09,Low
36.99,88.95,54.88,11.29,High
32.17,55.95,131.14,49,Low
17.92,52.2,153.28,35.86,Low
26.91,71.28,14.43,24.08,Low
37.95,54.55,125.33,18.62,Low
29.16,75.81,23.57,35.1,Low
19.82,64.08,172.64,3.66,Low
29.92,54.14,194.68,20.69,Low
17.95,50.1,113.45,43.45,Low
33.62,43,20.52,28.63,Low
18.45,57.05,63.79,42.1,Low
29.54,34.61,43.34,7.45,Low
39.58,54.58,32.48,20.28,Low
23.11,50.99,37.82,20.82,Medium
39.88,35.78,39.17,49.09,Low
28.17,86.03,24.86,49.02,Low
21.61,68.13,127.83,4.03,Low
26.96,77.08,28.49,22.69,Low
34.23,53.81,8.5,33.15,Low
27.82,75.03,183.43,24.19,Low
20.39,85.22,142.49,1.65,Low
28.59,46.27,11.03,31.91,Medium
25.38,47.78,97.66,49.19,Low
29.98,73.36,174.35,9.14,Low
